Timestamp,Glucose Reading/Event
"Apr 26 2023,  9:20 PM",82
"Apr 26 2023,  9:21 PM",83
"Apr 26 2023,  9:22 PM",80
"Apr 26 2023,  9:23 PM",81
"Apr 26 2023,  9:25 PM",110
"Apr 26 2023,  9:26 PM",110
"Apr 26 2023,  9:27 PM",110
"Apr 26 2023,  9:28 PM",111
"Apr 26 2023,  9:29 PM",111
"Apr 26 2023,  9:30 PM",116
"Apr 26 2023,  9:31 PM",110
"Apr 26 2023,  9:32 PM",109
"Apr 26 2023,  9:33 PM",109
"Apr 26 2023,  9:34 PM",117
"Apr 26 2023,  9:35 PM",117
"Apr 26 2023,  9:36 PM",118
"Apr 26 2023,  9:37 PM",117
"Apr 26 2023,  9:38 PM",117
"Apr 26 2023,  9:39 PM",115
"Apr 26 2023,  9:40 PM",115
"Apr 26 2023,  9:41 PM",113
"Apr 26 2023,  9:42 PM",112
"Apr 26 2023,  9:45 PM",122
"Apr 26 2023,  9:54 PM",133
"Apr 26 2023,  9:55 PM",131
"Apr 26 2023,  9:56 PM",130
"Apr 26 2023,  9:57 PM",130
"Apr 26 2023,  9:58 PM",131
"Apr 26 2023,  9:59 PM",132
"Apr 26 2023, 10:00 PM",126
"Apr 26 2023, 10:01 PM",130
"Apr 26 2023, 10:02 PM",126
"Apr 26 2023, 10:03 PM",122
"Apr 26 2023, 10:04 PM",122
"Apr 26 2023, 10:05 PM",121
"Apr 26 2023, 10:06 PM",119
"Apr 26 2023, 10:07 PM",116
"Apr 26 2023, 10:08 PM",117
"Apr 26 2023, 10:09 PM",118
"Apr 26 2023, 10:15 PM",136
"Apr 26 2023, 10:30 PM",134
"Apr 26 2023, 10:45 PM",127
"Apr 26 2023, 10:50 PM",126
"Apr 26 2023, 10:51 PM",126
"Apr 26 2023, 10:52 PM",127
"Apr 26 2023, 10:53 PM",127
"Apr 26 2023, 10:54 PM",128
"Apr 26 2023, 10:55 PM",129
"Apr 26 2023, 10:56 PM",129
"Apr 26 2023, 10:57 PM",128
"Apr 26 2023, 10:58 PM",129
"Apr 26 2023, 10:59 PM",130
"Apr 26 2023, 11:00 PM",128
